"i",0.0628,16.6728,16.61
"z",0.1287,16.9472,16.8185
"e",0.0808,17.011,16.9302
"space",0.0469,17.0249,16.978
"i",0.0808,17.1875,17.1067
"n",0.0489,17.2195,17.1706
"space",0.0648,17.363,17.2982
"Shift_R",0.1613,17.8601,17.6988
"F",0.2094,19.2662,19.0568
"Shift_R",0.2573,19.362,19.1047
"r",0.1122,19.3923,19.2801
"a",0.2404,19.6486,19.4082
"n",0.0648,19.5853,19.5205
"c",0.0957,20.1437,20.048
"e",0.0489,20.2735,20.2246
"space",0.0648,20.4011,20.3363
"i",0.0638,20.4958,20.432
"s",0.0947,20.6235,20.5288
"space",0.0488,20.6733,20.6245
"t",0.0967,21.2328,21.1361
"h",0.0977,21.2348,21.1371
"e",0.0808,21.3456,21.2648
"space",0.0488,21.4253,21.3765
"t",0.0808,21.8572,21.7764
"h",0.1037,21.9031,21.7994
"i",0.0648,21.937,21.8722
"r",0.0808,22.0976,22.0168
"d",0.0803,22.2881,22.2078
"space",0.0489,22.3849,22.336
"l",0.0648,22.705,22.6402
"a",0.1267,22.8945,22.7678
"r",0.0798,22.9284,22.8486
"g",0.0967,23.1847,23.088
"e",0.1127,23.3293,23.2166
"s",0.1447,23.5688,23.4241
"t",0.1935,23.6665,23.473
"space",0.0479,23.5997,23.5518
"c",0.0957,23.8554,23.7597
"o",0.1441,23.9523,23.8082
"u",0.0643,23.9368,23.8725
"n",0.0489,24.0975,24.0486
"t",0.0967,24.1932,24.0965
"r",0.0808,24.5772,24.4964
"y",0.0638,24.624,24.5602
"space",0.0648,24.7537,24.6889
"b",0.0639,25.1198,25.0559
"y",0.0638,25.1845,25.1207
"space",0.1277,25.3122,25.1845
"s",0.0489,25.5371,25.4882
"i",0.0639,25.6479,25.584
"z",0.1287,25.9052,25.7765
"e",0.0808,25.969,25.8882
"space",0.0638,26.0318,25.968
"i",0.0489,26.0976,26.0487
"n",0.0648,26.2093,26.1445
"space",0.0808,26.3529,26.2721
"Shift_R",0.1925,26.8008,26.6083
